name,lat,lng,type,state,district,beds,emergency
Dr. Indra Hospital,28.7980095,77.0354003,hospital,,,,
Dr. Rajeev Hospital,28.8006984,77.0353788,hospital,,,,
Government hospital,28.8012625,77.0374388,hospital,,,,
Sri Sivani,17.2520808,80.1411098,hospital,,,,
Rohith,17.2475856,80.1488203,hospital,,,,
Lalitha,17.2477655,80.1485128,hospital,,,,
Usha Hospital,17.2481896,80.1474742,hospital,,,,
City Hospital,17.2480698,80.1473508,hospital,,,,
Kavya Hospital,17.2481373,80.1472183,hospital,,,,
Surya Hospital,17.2482259,80.1470769,hospital,,,,
SAI Maruthi,17.2483483,80.1462684,hospital,,,,
Hanuman,17.249002,80.146059,hospital,,,,
Jabilli Mother and Child Hospital,17.2493484,80.1450913,hospital,Telangana,Khammam,,
Medinova,17.2507323,80.1439842,hospital,,,,
Spandana Heart Care Centre,17.2510535,80.14348,hospital,Telangana,Khammam,,
Kinnera Hospital,17.251074,80.1433392,hospital,Telangana,Khammam,,
Ramakrishna Nursing Home and Hospital,12.9364329,77.583477,hospital,,,,
St Anns,17.251107,80.12465,hospital,,,,
Sassoon Hospital,18.5251434,73.8695664,hospital,,,,
Buggaveeti ENT,17.2477468,80.1497409,hospital,,,,
Guru Hospital,17.2480618,80.1485574,hospital,,,,
Narayana Hospital,17.2488031,80.1467813,hospital,,,,
Gowthami Hospital,17.2488668,80.1466659,hospital,,,,
Gangothri Hospital,17.2489854,80.1466483,hospital,,,,
Surya Hospital,17.2492386,80.1461888,hospital,,,,
"Ayurvedic Hospital, Bharmour",32.443286,76.5409532,hospital,,,,
Samaikhya,17.2521367,80.1436115,hospital,,,,
SV,17.2521041,80.1439681,hospital,,,,
Newlife,17.2521772,80.1440463,hospital,,,,
Madansingh,17.2524486,80.144212,hospital,,,,
Cure Emergency Hospital,17.2522634,80.1444034,hospital,Telangana,Khammam,,
Sriraksha,17.2523413,80.1444172,hospital,,,,
Nikhila Hospital,17.2519496,80.1444711,hospital,Telangana,Khammam,,
"Ayurvedic Health Centre, Kilar",33.0811597,76.4071944,hospital,,,,
Apollo,17.2502091,80.145292,hospital,,,,
Meghana,17.250304,80.145006,hospital,,,,
Bala Hospital,10.9969296,76.995705,hospital,,,,
Hospital,31.2129828,75.4330658,hospital,,,,
"Ayurvedic Health Centre, Triloknath",32.6840914,76.6958958,hospital,,,,
Hospital,10.6171687,77.9407588,hospital,,,,
Arogyasree Health care trust,17.4301742,78.3937323,hospital,,,,
"Ganga Medical Centre and Hospitals Pvt. Ltd ,Ramnagar",11.0158724,76.9594235,hospital,Tamil Nadu,Coimbatore,,
Krishna Nursing Home,11.0152327,76.9593766,hospital,,,,
"Kongunad Hospital, Coimbatore",11.018058,76.9604883,hospital,Tamil Nadu,Coimbatore,,yes
Sheela Clinic,11.01843,76.9604642,hospital,Tamil Nadu,Coimbatore,,yes
Balaji Nursing Home,13.3098155,76.9393629,hospital,,,,
Christuraj Hospital,9.7117351,76.6813947,hospital,,,,yes
Saifee Ambulance,18.9599377,72.8314957,hospital,,,,
Sanjeevani Vitalife Medipoint Hospital,18.5649263,73.8022626,hospital,,Pune,,yes
LifeLine Hospital,18.5597445,73.8062674,hospital,,,,
KMC Hospital,13.3534806,74.7893684,hospital,,,,
Dr. Chowdhary,18.5547291,73.8082012,hospital,,,,
Dr. Bonagiri,18.5554816,73.8088556,hospital,,,,
Civil Hospital Barnala,30.3750707,75.5447007,hospital,,,,
Surojini Devi Eye Hospital,17.3990359,78.4447966,hospital,,,,
Star Hospital,17.4156911,78.4454609,hospital,Telangana,Hyderabad,,
Rainbow Hospitals,17.4148145,78.4475692,hospital,,,,
Fernandez Hospital,17.3921498,78.4793651,hospital,Telangana,Hyderabad,,
Oxygen Hospital,17.4556983,78.4984034,hospital,,,,yes
Kailash Hospital & Heart Institute,28.577404,77.3314139,hospital,Uttar Pradesh,Gautam Buddha Nagar,,
Preet Health Centre,30.8661306,75.852472,hospital,,,,
Dr. Jagdeep Rehab Centre,30.8691118,75.8548692,hospital,,,,
Hospital,30.8729813,75.8407056,hospital,,,,
Dayal Medical Centre,30.8736496,75.8432881,hospital,,,,
Amrit Hospital,30.8659347,75.8763789,hospital,,,,
Guru Nanak Charitable Hospital,30.865567,75.8718079,hospital,,,,
Aggarwal Clinic,30.8659266,75.8610229,hospital,,,,
Akal Health Clinic,30.8659489,75.8608783,hospital,,,,
Jain Hospital,30.8580096,75.8742937,hospital,,,,
Raj Children Hospital And Laboratory,30.8584421,75.876858,hospital,,,,
A.P. Singh Eye Surgeon,30.8624382,75.866673,hospital,,,,
Physical Clinic,30.8657121,75.8677957,hospital,,,,
Khanna Clinic,30.8658824,75.8625647,hospital,,,,
Government Dispensary,30.8662824,75.861816,hospital,,,,
Hospital,20.7123797,70.9889474,hospital,,,,
Jain Hospital,30.8610731,75.871911,hospital,,,,
Balaji dental hospital,30.8658001,75.863453,hospital,,,,
Nanank Sar Charitable Hospital,30.8690757,75.8819246,hospital,,,,
Didar Hospital,30.8776864,75.8593693,hospital,,,,
Balraj Dental Hospital,30.8658472,75.8634559,hospital,,,,
Rama ji Charitable Clinic,30.8691832,75.8668154,hospital,,,,
Arora Clinic,30.8699152,75.8668555,hospital,,,,
Sigma Community health Center,30.8658007,75.8635306,hospital,,,,
Homeopathic Clinic,30.8703873,75.8621472,hospital,,,,
Nishkam Sewa Dispensary & Laboratory,30.8702961,75.8654782,hospital,,,,
Jyoti Clinic,30.8663757,75.8640902,hospital,,,,
Dassal Dental Clinic,30.8702571,75.8666373,hospital,,,,
Med-C,28.3577159,75.59015,hospital,,,,
Government Hospital,12.763476,75.0978784,hospital,,,,
Delhi Heart and Lung Institute Super Speciality Hospital,28.6416777,77.2052683,hospital,,,,
Sant Isher Singh Ji Memorial Hospital,30.7274711,75.9453152,hospital,Punjab,Ludhiana,,
Mata Tej Kaur Memorial Subsidary Health Centre,30.8691941,75.8819756,hospital,,,,
Partap Hospital Daba,30.8673205,75.8856798,hospital,,,,yes
Shri Harkrishan Sahib Charitable Hospital,30.867105,75.8352921,hospital,,,,
Govt.Veternery,30.9173817,75.7174368,hospital,,,,
Jeet Hospital,30.8666211,75.9204518,hospital,,,,
Indraprastha Apollo Hospital,28.5408389,77.2834999,hospital,,,,yes
Pooja Clinic,30.8676981,75.9204096,hospital,,,,
Appasamy Hospital,13.0750445,80.2151198,hospital,,,,
Appasamy Hospital,13.073239,80.2148826,hospital,,,,
Appolo Clinic,13.0892073,80.2178866,hospital,,,,
Sri Vinayaka Poly Clinic,12.939058,77.5510802,hospital,,,,
RMV Hospital,13.0322788,77.576876,hospital,,,,yes
Army Hospital,32.9081188,77.5773924,hospital,,,,
Yashomathi Hospitals,12.9559302,77.7112689,hospital,,,,yes
Singareni Area Hospital,17.9109978,80.8012159,hospital,,,,
"Sankara Eye Hospital, Kanchipuram",12.965059,80.128212,hospital,Tamil Nadu,Kanchipuram,,
Shree Sakthi Hospital,18.5883392,73.8015444,hospital,,,,
Om Medicals,13.0529181,80.2039631,hospital,,,,
Ayushman Hospital,28.5965201,77.0493833,hospital,Delhi,South West,,
Govt Dispensory,28.5866431,77.0573761,hospital,Delhi,South West,,
Little Lourde Hospital Kidangoor,9.6834087,76.6117672,hospital,,,,yes
Mallya Audikesh Diagnostics Center,12.9815051,77.6011944,hospital,,,,
Mallige Medical Centre,12.985247,77.5803846,hospital,,,,
Beri Maternity Hospital,31.6325186,74.8491806,hospital,,,,
Shimla Sanitarium and Hospital,31.1030922,77.1559078,hospital,Himachal Pradesh,Shimla,,
Mariampur Hospital,26.465464,80.305789,hospital,,,,
GovernmentDental Collage,31.1058655,77.1831146,hospital,Himachal Pradesh,Shimla,,yes
Ayurvedic Mental Hospital,28.7237864,77.1497987,hospital,,,,
St Luke Hospital,27.4648038,95.3612101,hospital,Assam,Tinsukia,,
Pinewood Hospital,27.4970136,95.3516507,hospital,Assam,Tinsukia,,
Life Line Hospital - Tinsukia,27.4925976,95.3609741,hospital,Assam,Tinsukia,,
Srm Speciality Hospital,13.0331325,80.1810857,hospital,Tamil Nadu,Tiruvallur,,
SRM Dental Hospital,13.0321291,80.1801201,hospital,,,,
"L.G.B. Civil Hospital,Tinsukia",27.4991191,95.3587625,hospital,Assam,Tinsukia,,
Aditya Hospital,27.4941647,95.3484441,hospital,,,,
Dr. S.K.Dey Hospital,27.4889906,95.3522515,hospital,,,,
Holy Family Hospital Plassanal,9.7062998,76.7598364,hospital,,,,
"Sushrusha Hospital, Kozha Kuravlingad",9.761646,76.5677558,hospital,,,,
ZP rural Hospital,17.5831138,74.4457383,hospital,,,,
"Shridevi Hospital, Tumakuru",13.3392288,77.1045572,hospital,Karnataka,Tumakuru,,
"Surya Hospital, Coimbatore",11.0390101,76.979517,hospital,Tamil Nadu,Coimbatore,,yes
"KD Cosmetic Surgery Centre,Sector 34-A",30.7245237,76.7689883,hospital,,,,
Hospital,17.4693193,78.4778376,hospital,,,,
Remedy Hospitals,17.4636217,78.4567398,hospital,,,,
Fair Pharma,10.8927566,76.9246984,hospital,,,,
Vasan eye Care Hospital,10.9560967,76.9540004,hospital,,,,
Karva Hospital,18.5009733,73.8461063,hospital,,,,
Ayurvedic Hospital,18.6548547,73.7696807,hospital,,,,
Jeevan Deep Medicare Centre,18.5433023,73.7838607,hospital,Maharashtra,Pune,,
Devine Hospital,13.0038999,77.6039313,hospital,Karnataka,Bengaluru Urban,,
Anand Hospital,18.6539354,73.7646919,hospital,,,,
"Government Taluk Hospital,Koyilandy",11.4425414,75.6926043,hospital,,,,
Carewell Hospital & Research Centre,12.5113561,74.9982867,hospital,Kerala,Kasaragod,,
"KIMS, Kasaragod",12.50755,74.9909039,hospital,Kerala,Kasaragod,,
Lalbagh Nursing Home,12.9452313,77.5861734,hospital,,,,
Dr. Batra Clinic,12.9797287,77.7271089,hospital,,,,
Mamata Hospital.,19.1673026,73.2341504,hospital,,,,
Vatsalya Maternity and Surgical Hospital,19.1653819,73.2309738,hospital,Maharashtra,Thane,,
Dube Hospital,19.1661295,73.2355095,hospital,,,,yes
Government Maternity Hospital,12.9988604,77.5817424,hospital,,,,
Soujanya Clinic,12.9681189,77.54325,hospital,,,,no
Kanva Diagnostics Collection Centre,12.967291,77.5429164,hospital,,,,
Sahyadri Hospital,18.5074625,73.8057842,hospital,Maharashtra,Pune,,
"Krishna Hospital, Pune",18.5092055,73.8128199,hospital,Maharashtra,Pune,,
Nandi Hospital,11.4729282,75.6423564,hospital,,,,
Hospital,11.4723474,75.6413982,hospital,,,,
Aakash Fertility Centre & Hospital,13.0554597,80.2118365,hospital,Tamil Nadu,Chennai,,
Hospital,12.9445695,80.1210689,hospital,,,,
Sukhda Hospital,28.5469254,77.2445375,hospital,,,,
New Akshay Mallya Hospital,12.9568527,77.6990468,hospital,Karnataka,Bengaluru Urban,,
Rajan Eye Care Hospital,13.0508335,80.2434416,hospital,Tamil Nadu,Chennai,,
Hospital,10.3285722,76.9558507,hospital,,,,
Dr. Chaku Eye SurgeryCentre,30.8884399,75.836372,hospital,Punjab,Ludhiana,,
Siddarth Municipal Hospital,19.1597156,72.8399209,hospital,Maharashtra,Mumbai,,yes
MMC Govenment Hospital,13.1635998,80.2435516,hospital,,,,
Avadi Hospital,13.1174941,80.1008132,hospital,,,,
Presidency Hospital,12.9951629,77.69923,hospital,,,,
Eden Hospital,22.5727398,88.3600196,hospital,,,,
Calcutta Medical College & Hospital,22.5722242,88.3614363,hospital,,,,
Naliyath Medical Chamber,9.9432462,76.3741513,hospital,,,,
Sharda nurshing home,29.1919649,73.2058131,hospital,,,,
LEAF HOSPITAL,17.4629614,78.3673949,hospital,Telangana,,,
Government Hospital Narlai,25.3152611,73.5317631,hospital,Rajasthan,Pali,,
Bone & Joint Clinic,12.2655089,76.644961,hospital,,,,
Ambicare Hospital,17.4535178,78.364084,hospital,,,,no
Men Tsee Khang,32.2391459,76.3248242,hospital,,,,no
BGS Gleneagles Hospitals,12.90306,77.4974982,hospital,Karnataka,Bengaluru Urban,,
Dr. Nathaji Nursing Home,12.8302996,79.7031901,hospital,,,,yes
Civil Hospital,23.2196609,72.641845,hospital,,,,
Nirola Hospital,30.4097656,74.0286599,hospital,,,,yes
Amrit,30.4065614,74.0268842,hospital,,,,
Rishi Valley Rural Health Center,13.6417645,78.4526879,hospital,,,,no
Kalpana Lifeline Hospital Pvt. Ltd,19.388889,72.8251108,hospital,Maharashtra,Thane,,
Srinivas Clinic,12.9073391,77.5830655,hospital,,,,no
Vidyasagar State General Hospital,22.4987178,88.3163322,hospital,West Bengal,South 24 Parganas,,
Hospital,16.7168057,74.2411131,hospital,,,,
District Hospital,22.0509324,78.939744,hospital,,,,yes
Tulsi Hospital,28.9698124,77.7306271,hospital,Uttar Pradesh,Meerut,,yes
Maternity Home,28.9715676,77.7318434,hospital,,,,no
Hospital,13.0043642,77.5652959,hospital,,,,
Agarwal Hospital,26.464244,80.314388,hospital,,,,
Rama Krishna Mission Hospital,26.468763,80.318223,hospital,,,,
Madhukar General Hospital,18.4789234,73.8241232,hospital,Maharashtra,Pune,,
Ram Lal Kundan Lal Orthopaedic Hospital,28.6179569,77.2866841,hospital,Delhi,East,,
Dr. Shyama Prasad Mukherjee Chest Hospital,28.6140205,77.2898985,hospital,,,,
Dr. Naik Clinic,18.4745644,73.8140764,hospital,,,,no
Vijaya Laxmi Nursing Home,17.2434963,80.1420154,hospital,Telangana,Khammam,,no
Renduchintala Radhakrishna Eye Hospital,17.2435489,80.1373461,hospital,,,,
sree dhanalakshmi family clinic,13.0583046,80.211745,hospital,,,,
Metro Hospital,12.8915893,77.560715,hospital,,,,yes
Mediways,30.882116,75.7749218,hospital,,,,
Kushinagar Clinic,26.7379729,83.895048,hospital,,,,
Civil Hospital,30.604324,74.2582801,hospital,,,,
Railway Hospital,30.9407359,74.6165687,hospital,,,,
Amar Hospital,30.941201,74.6131659,hospital,,,,
Frances Newton (Mission) Hospital,30.9410759,74.6142556,hospital,,,,
Cantonment Board Hospital,30.9221075,74.6179782,hospital,,,,
Anand Hospital,30.9271685,74.6175497,hospital,,,,
Jevan Vikas Hospital,19.1106501,72.8483274,hospital,,,,
Health Center,23.1039413,72.5679365,hospital,,,,
"Yashoda Super Speciality Hospital, Anand Vihar",28.6450931,77.3287535,hospital,Uttar Pradesh,Ghaziabad,,yes
Dr Kasbekar Sterling Hospital,19.0698454,72.9873953,hospital,Maharashtra,Thane,,yes
New Gardinar Road Hospital,25.6102948,85.130907,hospital,Bihar,Patna,,
Brookefield Hospital(A Unit Of Sanjeevani Hospital),12.9668213,77.7168891,hospital,Karnataka,Bengaluru Urban,,yes
Sitaram Bhartia,28.4675077,77.0824741,hospital,,,,
Civil Hospital Shillong,25.5679611,91.8807062,hospital,Meghalaya,East Khasi Hills,,yes
Indira Gandhi Medical College and Research Institute,11.9404008,79.7962236,hospital,Puducherry,Puducherry,,yes
JOY Hospital,19.0558773,72.8973945,hospital,,,,
