name,lat,lng,type,state,district,phone
Belgaum Fire Station,15.8427962,74.5079663,fire_station,,,
Narendra Nagar Fire Station,21.1071167,79.0806817,fire_station,,,
ITI Fire Station,13.0037983,77.6786402,fire_station,,,
Golaghat Fire Brigade,26.498313,93.9610084,fire_station,,,
Fire and Rescue Station Keezhayikonam,8.7044955,76.9044895,fire_station,,,
Fire Station,18.0010741,79.5645526,fire_station,,,
Koothanallur Fire  Station,10.7187756,79.5237309,fire_station,,,
"Fire and Rescue Station, Chelakadu",11.684318,75.6822742,fire_station,,,
Fire and Rescue Station Pathanamthitta,9.2648855,76.7933972,fire_station,,,
Fire and Rescue Station Koyilandy,11.4437142,75.6936132,fire_station,,,+91-496 262 0101
Fire and Rescue Station,9.9691402,76.2848326,fire_station,,Ernakulam,
Asansol Fire Brigade,23.6855371,86.9761021,fire_station,,,
Mira Bhayander Mahanagarpalika Fire Bridage and Emergency centre,19.292598,72.8519209,fire_station,,,
Fire station,19.312459,84.7895437,fire_station,,,
"Fire and Rescue Station, Manjeri",11.1091448,76.1198876,fire_station,,,
Fire and Rescue Station Vaikom,9.7496816,76.412518,fire_station,,,
Fire Service Station,34.2905434,74.6204273,fire_station,,,
Fire Station,12.5246575,78.2171432,fire_station,,,
Gangtok fire station,27.332104,88.6139867,fire_station,,,
Fire Station Sasthamcotta,9.0467637,76.6269579,fire_station,,,
Fire&Rescue Station Chamakkada,8.8884757,76.5836972,fire_station,,,
FIRESTATION THRISSUR,10.5171301,76.217015,fire_station,,,
"Fire and Rescue Station, Kunnamkulam",10.6588303,76.067632,fire_station,,,+91-4885222511
panjagutta firestation,17.4127048,78.4088851,fire_station,,,
FIRE STATION,18.4522864,83.6389712,fire_station,,,
Tanuku fire station,16.7641741,81.6886905,fire_station,,,
Matigara Fire Brigade Office,26.7252915,88.3858831,fire_station,,,
Bankura Fire Station,23.2398883,87.0348739,fire_station,,,
Fire Station,20.0184178,76.0453084,fire_station,,,
Mekliganj Fire Brigade,26.3457144,88.9073582,fire_station,,,
Fire Station,18.1077662,78.8246711,fire_station,,,
AIIMS Patna Firestation,25.5598913,85.0411721,fire_station,,,
Fire Station,11.4439284,75.6934268,fire_station,,,
Fire Station,10.2682088,78.5395993,fire_station,,,
Fire Station,23.9828599,85.3752294,fire_station,,,
Fire Station,9.0058425,76.5360041,fire_station,,,
Fire Station,9.0484595,76.6292391,fire_station,,,
Life Republic Fire Station,18.622011,73.7160677,fire_station,,,
"Fire and Rescue Station, Parassala",8.34713,77.1602842,fire_station,,,
"Fire Station, North Paravur",10.1517378,76.2420256,fire_station,,,
Fire Station Podia,18.1885445,81.5457624,fire_station,,,
Fire Station,25.1888527,73.4486789,fire_station,,,
Gauribidanur Fire Station,13.6023877,77.5240625,fire_station,,,08156274322
Gudibanda Fire Station,13.6727892,77.7082814,fire_station,,,
Fire Station,19.3941262,74.6479866,fire_station,,,
مغل پورہ فائر اسٹیشن,17.3595023,78.4767749,fire_station,,,040 23449226
"Fair and rescue Station, Poovar",8.3251571,77.0751749,fire_station,,,
Shivaji ParkFire Station,19.0331179,72.8412091,fire_station,,,
District Fire Office,12.5093591,74.9862534,fire_station,,,
"Fire and Rescue Station, Meenchanda",11.2145327,75.7993013,fire_station,,,
"Regional Fire Office, Fire and Rescue Services, Palakkad",10.7598967,76.6591177,fire_station,,,
District Fire Office.Palakkad,10.7598248,76.6591183,fire_station,,,
District Fire and Rescue Office Thrissur,10.5175017,76.2168719,fire_station,,,
Office of District Fire Officer,9.5876822,76.5207882,fire_station,,,
Regional Fire Office,9.5876536,76.5207874,fire_station,,,
District Fire Office,9.4972282,76.3488146,fire_station,,,
Fire Service Station,33.9983248,74.7922976,fire_station,,,
Fire and Emergency Station S.H Pora,34.0916266,74.8005283,fire_station,,,
Fire and Emergency Station Safakadal,34.0952565,74.7870962,fire_station,,,
Maharajgang,23.8254488,91.2850605,fire_station,,,
Kerala fire and rescue station,10.1782505,76.3741099,fire_station,,,+91-4842452101
FIRE STATION KONNI,9.2292881,76.8520208,fire_station,,,
Fire station,10.2396298,76.2053543,fire_station,,,
"Fire Station, North Paravur",10.1492169,76.234507,fire_station,,,
"Fire Station, Peringod",10.8661043,76.4787225,fire_station,,,
"Fire and rescue station ,Tripunithra",9.9358139,76.3520539,fire_station,,,+91-277 5388
C R Avenue Fire Station,22.5778367,88.3606283,fire_station,,,
Fire Station Udala,21.5730321,86.5698737,fire_station,,,
Kaptipada Fire station,21.510519,86.5413157,fire_station,,,
Fire Service Station,33.9257761,75.1175287,fire_station,,,
Fire Station,10.0721672,76.317397,fire_station,,,
Government Fire Station,10.9938901,75.8680041,fire_station,,,
"Fire Force, Mukkam",11.3277658,75.9884394,fire_station,,,
Fire and Rescue Station,9.1873146,76.5186008,fire_station,,,
Fire and Rescue Station,10.0073722,76.9678406,fire_station,,,
Fire and Rescue Station,12.0298225,75.5063691,fire_station,,,
Fire and Rescue Station,12.0047496,75.5414254,fire_station,,,
"Fire and Rescue Service, Kumarapuram",9.277837,76.4418885,fire_station,,,
Fire station,16.9565233,82.2330485,fire_station,,,
Fire Brigade,25.1687299,93.0189772,fire_station,,,
Fire Station,27.0628273,88.4635116,fire_station,,,
Fire Station,30.692786,76.8554167,fire_station,,,
Gandacherra Fire Service,23.6129722,91.8199465,fire_station,,,
Rahatani Fire Station,18.5962353,73.7817161,fire_station,,,
Fire Station Pradhikaran,18.6592478,73.7717409,fire_station,,,
Chikhali Fire Station,18.6644103,73.8177985,fire_station,,,
Main PCMC Fire Station,18.6227621,73.8180479,fire_station,,,
Bengaluru Secretariat Fire Station,12.9777636,77.5888047,fire_station,,,
Thergaav Fire Station,18.612189,73.7788059,fire_station,,,
Indira Nagar Fire Station,26.8726934,80.9840926,fire_station,,,
Fire Station Chalakudy,10.3014815,76.3379985,fire_station,,,
"Fire and Rescue Station, Vellimadukunnu",11.2908083,75.8166464,fire_station,,,
Late.Mahadu Sakharam Tingare,18.5969833,73.9065533,fire_station,,,
IIT Kanpur Fire Station,26.5119495,80.2300649,fire_station,,,
Fire Station,28.737415,77.1539231,fire_station,,,
Fire Station,12.9297974,79.3291969,fire_station,,,04172 226084
Mandi fire station,31.6829077,76.9449796,fire_station,,,
Forest Fire Crew Station,30.0034944,79.569165,fire_station,,,
Imphal Fire Station,24.8049422,93.9353772,fire_station,,,
Bopal Fire Station,23.0126733,72.4711874,fire_station,,,
Mahadula Fire Station,21.2495332,79.0817629,fire_station,,,
"Uttarakhand Fire and Emergency Station, Sidcul",29.0013152,79.4175248,fire_station,,,
"Fire and Emergency Services Station, Raha",26.2340279,92.5260134,fire_station,,,
Udupi Fire Station,13.3277231,74.7400363,fire_station,,,
Fire Station,12.3105759,76.3173911,fire_station,,,
Fire Station,28.6518215,77.2336802,fire_station,,,
Fire Station,30.3737793,77.8574331,fire_station,,,
Fire Station,17.7095113,83.2987435,fire_station,,,
Nimapada Fire Station,20.0535754,86.0029038,fire_station,,Puri,
Fire station Nahan,30.5585978,77.3006937,fire_station,,Sirmour,
Fire Station,28.7361567,77.297457,fire_station,,,
FIRE STATION,28.1153534,75.3893325,fire_station,,,
FIRE STATION,28.6861712,77.2859055,fire_station,,,
Saharanpur Fire Station,29.9552631,77.5403107,fire_station,,,
Fire Station,17.4913591,78.3910857,fire_station,,,
Fire Station,25.6670461,91.9005194,fire_station,,,
Manikhamb Fire Station,21.4950722,86.9378981,fire_station,,,
Kakatpur Fire Station,19.9912027,86.2246143,fire_station,,Puri,
Fire Station,25.2587857,91.7345509,fire_station,,,
Fire Station Konark,19.8982395,86.1149428,fire_station,,Puri,
Fire Station,10.781329,79.6076376,fire_station,,,
Mettur FIre and Rescue Dept.,11.8018489,77.8269114,fire_station,,,
Fire Station,17.4303542,81.789249,fire_station,,,
Fire Station,13.0280181,77.5208174,fire_station,,,
Janta Fire Brigade station,18.4996173,73.8484683,fire_station,,,
Fire Station,15.9074407,80.4730133,fire_station,,,
Fire Station,14.9904605,78.9870249,fire_station,,,
Fire Station,30.3008284,79.0506377,fire_station,,,
Thiruvallur fire station,13.1378247,79.907707,fire_station,,,
"Fire Station, Pipariya",22.7542442,78.3502439,fire_station,,Narmadapuram,
Fire Station,16.1863953,81.1355478,fire_station,,,
Fire Station,9.5167506,77.6315958,fire_station,,,
Fire And Rescue Services Station,10.3595441,77.9680778,fire_station,,,
Fire Station,12.3328308,78.3489464,fire_station,,,
Erode District Fire Station,11.3326366,77.7272532,fire_station,,Erode,
Fire Station,34.5506693,76.1370322,fire_station,,,
Fire Brigade Station,28.6982368,77.2049529,fire_station,,,
fire station,26.7548433,83.3727648,fire_station,,,
Fire Brigade Station Safidon,29.4125896,76.6659343,fire_station,,Jind,
sravsti fire police,27.707329,81.9084834,fire_station,,,
Fire Station,29.3173587,76.3168696,fire_station,,,
Lalitpur Fire Station,24.6919457,78.4152925,fire_station,,,
CBD Shahdara Fire Station,28.661811,77.2967067,fire_station,,,
Chapra fire station,25.7820261,84.7621493,fire_station,,,
Fire And Rescue Service Station,8.8023125,78.1537646,fire_station,,,
Kaliyaganj Fire Station,25.6272695,88.3221962,fire_station,,,
Chittivalasa Fire Station,17.9045341,83.4053081,fire_station,,,
Agni Mapaka Kendram,16.5037,80.6740888,fire_station,,,
"Delhi Fire Service ,Kalyanvas Fire Station",28.6172307,77.3091716,fire_station,,,
Fire Station,12.7551659,77.8018045,fire_station,,,
Roop Nagar Fire Station,28.6850059,77.2029077,fire_station,,,
Fire Station,27.4755218,77.3364276,fire_station,,,
Chakan Fire station,18.77367,73.8693738,fire_station,,,
Kokrajhar Fire Station,26.3928882,90.302215,fire_station,,,
Bidar Fire Station,17.9220741,77.5206998,fire_station,,,
Fire Station,30.318872,78.0404503,fire_station,,,
Nalgonda Fire Station,17.0619703,79.2658968,fire_station,,"Nalgonda, Telangana",
Purushottampur Fire Station,19.5120348,84.8725817,fire_station,,,
Fire Station,15.5093147,80.0474443,fire_station,,,
Fire Station,28.1759496,77.6143876,fire_station,,,
Hari Nagar Fire Station,28.6222902,77.1101364,fire_station,,,
Gowalia Tank Fire Station,18.9617195,72.8127343,fire_station,,,
Fire Safety Management Academy,28.7068948,77.1285273,fire_station,,,+91-11-2756-2535;+91-11-2755-2155
Fire Station,27.3564128,95.3194434,fire_station,,,
Dadar Fire Brigade,19.0141985,72.8457116,fire_station,,,
Malwani Fire Station,19.1965948,72.8225749,fire_station,,,
Fire Station,30.7064971,76.7785309,fire_station,,,
Fire Station,30.7416647,76.747102,fire_station,,,
Sector 17,30.7358134,76.7805494,fire_station,,,
Fire Station,30.7572323,76.7858112,fire_station,,,
NIT Faridabad Fire Station,28.3900517,77.3055911,fire_station,,,
Fire Station,28.496035,77.06393,fire_station,,,
Fire Station,16.8701254,80.0196082,fire_station,,,
Fire Station Shankar Road,28.6406989,77.1757645,fire_station,,,
Kalighat Fire Brigade,22.5232928,88.343653,fire_station,,,
"Fire and Rescue Station, Palakkad",10.7598682,76.6591658,fire_station,,,
Fire Station,18.9351214,72.8345999,fire_station,,,
Nariman Point Fire Station,18.9230061,72.826081,fire_station,,,
Fire Station,13.0429393,80.2777191,fire_station,,,
Fire Station,28.61226,76.9767657,fire_station,,,
Fire and Rescue station,13.0352121,80.2306257,fire_station,,,
Erandvana Fire Station,18.5067169,73.8328039,fire_station,,,
Pune Main Fire Station,18.5065191,73.8652262,fire_station,,,
Fire Station,14.7811903,75.1354501,fire_station,,,
Thaltej Fire Dpt.,23.0537528,72.499106,fire_station,,,
Electronics City Fire Station,12.8354994,77.6626974,fire_station,,,+918022971576
Sarjapura Road Firestation,12.9168126,77.6738567,fire_station,,,
Fire Station,20.2544228,85.8137137,fire_station,,,
Airport Rescue and Fire Fighting Station,13.2009077,77.7038208,fire_station,,,
CIAL Fire Station,10.1557006,76.403173,fire_station,,,
Borivali Firestation,19.2298201,72.8400025,fire_station,,,
Fire Station,29.9696064,76.8649966,fire_station,,,
Fire Station,28.6745618,77.2841318,fire_station,,,
Aundh Fire Station,18.5605781,73.8142749,fire_station,,,+912026451707
Fire Station,28.6592266,77.1439439,fire_station,,,
Fire Station,16.9819561,79.9436914,fire_station,,,
Fire station,18.6763232,78.1042977,fire_station,,,
adilabad fire station,19.6656807,78.5304536,fire_station,,,
Fire Station,12.5365549,76.914654,fire_station,,,
Fire Station,28.6204983,77.3368143,fire_station,,,
Fire Station,24.7171427,84.9995608,fire_station,,,
Fire Station,12.3432848,76.6565015,fire_station,,,
Fire Station,22.4322592,69.8654331,fire_station,,,
Fire Station,22.3457152,69.8736823,fire_station,,,
Fire Station,22.3401803,69.8512633,fire_station,,,
Fire Station,22.3554434,69.8871737,fire_station,,,
Vadiwadi Fire Sation,22.3147287,73.1665167,fire_station,,,
Fire Station,22.426326,69.8546951,fire_station,,,
Fire Station,22.3751027,69.8358755,fire_station,,,
Fire Station,19.0915698,72.8736451,fire_station,,,
Office of the Chief Fire Officer,12.9728364,77.610246,fire_station,,,
Fire House,12.9588461,74.8883369,fire_station,,,
Old Fire House,12.9632061,74.8891143,fire_station,,,
Fire Station,28.5862437,77.2131366,fire_station,,,
Dali Fire Station,27.0231704,88.2550696,fire_station,,,
Darjeeling Fire Station,27.0432748,88.2647693,fire_station,,,
Fire Station,28.6690476,77.1002648,fire_station,,,
Fire Station,12.9805528,77.5802831,fire_station,,,
Ballari Fire Station,15.1550227,76.912846,fire_station,,,
Barakhamba Road Fire Station,28.632012,77.2233562,fire_station,,,
Kandivali Fire Station,19.2060269,72.8505364,fire_station,,,
Kurla Agnishaman Kendra,19.0844304,72.8859351,fire_station,,,
Kharghar Fire Station,19.0388449,73.0635245,fire_station,,,
Nerul Fire Station,19.02371,73.0254166,fire_station,,,
Babasaheb Worlikar Fire Station,19.013219,72.8235338,fire_station,,,
Fire Station Thane (E),19.1830113,72.9759532,fire_station,,,
Nariman Point Fire Station,18.9230922,72.8260079,fire_station,,,
CBD Fire Station,19.0244048,73.0405962,fire_station,,,02227572111
Fire Station,19.1100834,72.8775234,fire_station,,,
Fire St.,17.4507306,78.4664168,fire_station,,,
Fire Station,27.1072681,93.6936703,fire_station,,,
Fire Station,22.5680591,88.4327256,fire_station,,,
Jorhat Fire Station,26.7547948,94.2114259,fire_station,,,
Dindoshi Fire Station,19.1750612,72.8609978,fire_station,,,
Shibpur Fire Brigade,22.570447,88.326271,fire_station,,,
Hinjawadi Fire Station - Phase 1,18.5848454,73.7350945,fire_station,,,
Fire Station,18.5789357,73.7406282,fire_station,,,
Fire and Rescue Station Konni,9.2290979,76.852039,fire_station,,,
"Fire and Rescue Station, Kanjikode",10.7920846,76.728057,fire_station,,,
Kalamboli Fire Station,19.0260062,73.105093,fire_station,,,
"Fire and Rescue Station, Shoranur",10.7764194,76.280489,fire_station,,,
Fire Station,21.6455239,69.609532,fire_station,,,
Fire station,30.1924428,78.1787534,fire_station,,,
Kandi Fire Station,23.9491807,88.0304206,fire_station,,,
"Fire and Rescue Station, Chittur",10.6877146,76.7178027,fire_station,,,
Fire Station,23.2314636,77.4581316,fire_station,,,
Dayaram Rajguru Agnishamak Kendra,18.5299362,73.8706051,fire_station,,,
Fire Station,25.7602754,87.4639053,fire_station,,,
"Fire Brigade and Emergency Services, Sakkardara",21.1197367,79.1144003,fire_station,,,0712-2703829 ; 0712-2703852
"Fire and Rescue Station, Chamakkada",8.883985,76.5843935,fire_station,,,
Fire Station 1,28.5482432,77.0947618,fire_station,,,
Fire Station,15.2693771,73.9703811,fire_station,,,
Curchorem Fire Station,15.2603322,74.1036514,fire_station,,,
Bandra Fire Brigade,19.0504426,72.8375638,fire_station,,,
Fire Station,19.0504019,72.8375112,fire_station,,,
Fire Department Building,22.5323996,92.8926958,fire_station,,,
"Fire and Rescue Station, Viyyur",10.5558619,76.2237502,fire_station,,,
Fire Station,10.763592,78.7187088,fire_station,,,
Fire Station,21.09551,79.0481961,fire_station,,,
Fire Station,21.0954831,79.0481338,fire_station,,,
Fire and Rescue Station Angamaly,10.1794232,76.3785185,fire_station,,,
Fire Station,17.6284154,78.4017249,fire_station,,,
"Fire and Rescue Station, Chackai",8.4898007,76.9149934,fire_station,,,
Fire Station,17.5516121,78.522665,fire_station,,,
Fire Station Gudiyattam,12.9461218,78.8738331,fire_station,,,
Baramunda Fire Station,20.2790545,85.7993009,fire_station,,,
Fire Station,30.2119527,74.9378685,fire_station,,,
Kothrud Fire Station,18.4988922,73.8134461,fire_station,,,
Jharkhand Fire Services HQ,23.3442619,85.3267771,fire_station,,,
GIFT Fire Station,23.1663246,72.6838274,fire_station,,,
Kondhwa Fire Station,18.461489,73.8899306,fire_station,,,
Fire Station,21.6474524,69.6572294,fire_station,,,
"Fire and Rescue Station, Pampady",9.5703153,76.6392456,fire_station,,,
Siliguri Fire Station,26.7029195,88.4174019,fire_station,,,
Canacona Fire Station and Emergency Station,15.0068096,74.057914,fire_station,,,
Fire Station,22.3269189,69.8570096,fire_station,,,
Fire Station,21.1164305,72.7399522,fire_station,,,
Tamilnadu fire and rescue services,11.0440949,76.9485156,fire_station,,,
KHURDHA FIRE STATION,20.1705263,85.6130242,fire_station,,,
BEGUNIA FIRE STATION,20.2020369,85.4444666,fire_station,,,
"Fire and Rescue Station, Perumbavoor",10.1172853,76.4933522,fire_station,,,
"Fire and Resccue Station, Kottayam",9.641756,76.3716104,fire_station,,,
"Fire And Rescue Station, Aroor",9.8829359,76.3012077,fire_station,,,
Chennai International Airport Fire Station 2,12.9925029,80.1660222,fire_station,,,
Goregaon Fire Station,19.1534967,72.8403286,fire_station,,,
"Fire and Rescue Station, Cherthala",9.6793423,76.3405881,fire_station,,Alappuzha,
Madhyamgram Fire Station,22.6917673,88.4668277,fire_station,,,
"District Fire & Rescue Office Alappuzha (Assistant Divisional Office), Alappuzha",9.4979685,76.3490958,fire_station,,,
Ulwe Fire Station,18.9757262,73.0281187,fire_station,,,
"Fire and Rescue Station, Alappuzha",9.4972419,76.3488591,fire_station,,,
"Fire and Rescue Station, Kannur Airport Station 2",11.9185812,75.5552522,fire_station,,,
"Fire and Rescue Station, Kannur Airport 1",11.9120622,75.537767,fire_station,,,
Kangeyam Fire Station,11.0080494,77.5613364,fire_station,,,
Mulund Fire Brigade,19.1751322,72.9425327,fire_station,,,
"Fire and Rescue Station, Kodungallur",10.2396376,76.205331,fire_station,,,+91 480 2802101
Fire Station,10.0759953,76.3180627,fire_station,,,
Mahadevapura Fire Station,12.9984702,77.7023641,fire_station,,,
Fire Station Headquarter Srinagar,34.0746843,74.7977596,fire_station,,Srinagar,
Jawahar Bag Fire Station,19.1916866,72.9782493,fire_station,,,
Jawahar Bag Fire Station,19.1915987,72.9785564,fire_station,,,
"Fire and Rescue Station, Changanassery",9.4437495,76.5418875,fire_station,,,
Fire and Rescue Station Thiruvalla,9.3812135,76.5697311,fire_station,,,
Ashokenagar Fire Station,22.845293,88.6310409,fire_station,,,
Fire Station Gokulpuri,28.7003913,77.2910981,fire_station,,,
Fire Station,16.0245644,80.9152458,fire_station,,,
"Fire and Rescue Station, Irinjalakuda",10.3612835,76.2132665,fire_station,,,+91 480 2820558
ranirbazar fire station,23.8288515,91.375941,fire_station,,,
"Fire and Rescue Station, Kannur",11.8641609,75.3676034,fire_station,,,
Fire Station,10.0642718,78.7760158,fire_station,,,
"Fire and Rescue Station, Kanjirappaly",9.5608385,76.8002025,fire_station,,,+91 4828 202 755
